# soak sampler started 03:52:14Z for 9 h
03:52:18 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=4 shr=0 com=4 | 5c7c_phys_0 ded=1956 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 0 MiB
03:57:34 | 3c6c_phys_0 ded=16912 shr=96 com=17113 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 17012 MiB; 1, 0 MiB
03:57:47 | 3c6c_phys_0 ded=17758 shr=96 com=17855 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 17754 MiB; 1, 0 MiB
03:58:00 | 3c6c_phys_0 ded=23306 shr=96 com=23597 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23522 MiB; 1, 0 MiB
03:58:14 | 3c6c_phys_0 ded=23614 shr=96 com=23711 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23610 MiB; 1, 0 MiB
03:58:27 | 3c6c_phys_0 ded=23614 shr=96 com=23711 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23610 MiB; 1, 0 MiB
03:58:40 | 3c6c_phys_0 ded=23614 shr=96 com=23711 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23610 MiB; 1, 0 MiB
03:58:53 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
03:59:06 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
03:59:19 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
03:59:32 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
03:59:45 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:00:00 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:00:13 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1375 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:00:27 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1375 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:00:40 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1375 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:00:53 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1375 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:01:06 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1375 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:01:20 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1375 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:01:34 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1383 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:01:47 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1383 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:02:00 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1383 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:02:13 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1383 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:02:26 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1383 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:02:39 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1383 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:02:52 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1383 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:03:05 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1383 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:03:18 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1383 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:03:32 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1383 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:03:45 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1383 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:03:58 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1383 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:04:11 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1383 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:04:24 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1383 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:04:37 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=15293 shr=150 com=15443 | 5c7c_phys_0 ded=1939 shr=1359 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 15288 MiB
04:04:50 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=15293 shr=150 com=15443 | 5c7c_phys_0 ded=1939 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 15288 MiB
04:05:03 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=15293 shr=150 com=15443 | 5c7c_phys_0 ded=1939 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 15288 MiB
04:05:17 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=15293 shr=150 com=15443 | 5c7c_phys_0 ded=1939 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 15288 MiB
04:05:30 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=15293 shr=150 com=15443 | 5c7c_phys_0 ded=1939 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 15288 MiB
04:05:43 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=15293 shr=150 com=15443 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 15288 MiB
04:05:56 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=15293 shr=150 com=15443 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 15288 MiB
04:06:09 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=15487 shr=150 com=15637 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 15482 MiB
04:06:22 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=15491 shr=150 com=15641 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 15486 MiB
04:06:36 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=15493 shr=150 com=15643 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 15488 MiB
04:06:49 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=21903 shr=150 com=22151 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 21996 MiB
04:07:02 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=22595 shr=150 com=22745 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 22590 MiB
04:07:15 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=22595 shr=150 com=22745 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 22590 MiB
04:07:28 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=22843 shr=150 com=22993 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 22838 MiB
04:07:41 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=22843 shr=150 com=22993 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 22838 MiB
04:07:54 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=22843 shr=150 com=5 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:08:07 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:08:20 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:08:34 | 3c6c_phys_0 ded=23626 shr=96 com=23723 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 0 MiB
04:08:47 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=388 shr=74 com=463 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 384 MiB
04:09:00 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=388 shr=74 com=463 | 5c7c_phys_0 ded=1959 shr=1351 com=5934 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 384 MiB
04:09:13 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=4094 shr=74 com=4169 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 4090 MiB
04:09:26 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=4094 shr=74 com=4169 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 4090 MiB
04:09:39 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=24094 shr=2294 com=26411 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 24108 MiB
04:09:52 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=24117 shr=2358 com=26475 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 24108 MiB
04:10:06 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=24117 shr=2422 com=26539 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 24108 MiB
04:10:20 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=24117 shr=2422 com=26539 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 24108 MiB
04:10:33 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=24117 shr=2422 com=26539 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 24108 MiB
04:10:46 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=24117 shr=2422 com=26539 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 24108 MiB
04:10:59 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=24117 shr=2422 com=26539 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 24108 MiB
04:11:13 | 3c6c_phys_0 ded=23627 shr=96 com=23723 | 4ca2_phys_0 ded=24117 shr=2422 com=26539 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 23622 MiB; 1, 24108 MiB
04:11:27 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=24117 shr=2422 com=26539 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 24108 MiB
04:11:41 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=24117 shr=2422 com=26539 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 24108 MiB
04:11:54 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=24117 shr=2422 com=26539 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 24108 MiB
04:12:07 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=4 shr=0 com=4 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 0 MiB
04:12:20 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=4 shr=0 com=4 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 0 MiB
04:12:33 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=4 shr=0 com=4 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 0 MiB
04:12:46 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=4 shr=0 com=4 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 0 MiB
04:12:59 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=388 shr=74 com=463 | 5c7c_phys_0 ded=1959 shr=1275 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 384 MiB
04:13:12 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=388 shr=74 com=463 | 5c7c_phys_0 ded=1959 shr=1283 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 384 MiB
04:13:25 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=4094 shr=74 com=4169 | 5c7c_phys_0 ded=1959 shr=1283 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 4090 MiB
04:13:38 | 3c6c_phys_0 ded=2406 shr=88 com=15413 | 4ca2_phys_0 ded=4094 shr=74 com=9021 | 5c7c_phys_0 ded=1959 shr=1283 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 15320 MiB; 1, 8942 MiB
04:13:52 | 3c6c_phys_0 ded=15324 shr=88 com=15413 | 4ca2_phys_0 ded=20627 shr=278 com=20905 | 5c7c_phys_0 ded=1959 shr=1283 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 15320 MiB; 1, 20622 MiB
04:14:05 | 3c6c_phys_0 ded=15324 shr=88 com=15413 | 4ca2_phys_0 ded=20627 shr=278 com=20905 | 5c7c_phys_0 ded=1959 shr=1283 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 15320 MiB; 1, 20622 MiB
04:14:18 | 3c6c_phys_0 ded=15324 shr=88 com=15413 | 4ca2_phys_0 ded=20627 shr=278 com=20905 | 5c7c_phys_0 ded=1959 shr=1283 com=5933 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 15320 MiB; 1, 20622 MiB
